Start Time,End Time,Open,High,Low,Close,Vol,Vol-Avg,Range,POC,VA High,VA Low,VA Range,TPO T,TPO AB,TPO BL,SF,TFF,RF,VTY,Dist(s),Bracket UL,Bracket UO,Bracket UQ,Bracket MID,Bracket LQ,Bracket LO,Bracket LL,Q1 TPO,Q2 TPO,Q3 TPO,Q4 TPO,Datetime,ULBreakoutPL,ULBreakout
2004.11.08 00:00,2004.11.12 23:30,1.29681,1.30014,1.28496,1.29712,6664045,1332809,151.8,1.2913,1.2932,1.2872,60.0,2004,930,997,0.93,5.21,0,14.7,1.0,1.2986,1.29698,1.29535,1.2921,1.28885,1.2872299999999999,1.2856,371,380,938,302,2004-11-12 23:30:00,-32.49999999999975,2
2004.11.10 00:00,2004.11.16 23:30,1.28972,1.30014,1.28496,1.29518,6668913,1333783,151.8,1.2895,1.296,1.2874,86.0,1958,1482,423,3.5,5.09,34,14.4,1.0,1.2996,1.29785,1.2961,1.2926,1.2891,1.28735,1.2856,489,448,678,335,2004-11-16 23:30:00,35.00000000000058,1
2004.11.17 00:00,2004.11.23 23:30,1.2954,1.3101,1.29372,1.30863,6690076,1338015,163.8,1.3033,1.306,1.2984,76.0,1935,676,1172,0.58,4.66,13,14.3,1.0,1.31,1.30798,1.30595,1.3019,1.29785,1.29583,1.2938,209,967,409,348,2004-11-23 23:30:00,40.50000000000109,1
2004.11.25 00:00,2004.12.01 23:30,1.31854,1.33544,1.31602,1.3340100000000001,6610343,1322069,194.2,1.3257,1.3314,1.324,74.0,2150,1281,809,1.58,4.39,40,16.2,1.0,1.333,1.3308799999999998,1.32875,1.3245,1.32025,1.31813,1.316,663,909,355,201,2004-12-01 23:30:00,42.49999999999865,1
2004.11.30 00:00,2004.12.06 23:30,1.32772,1.34592,1.32297,1.3403100000000001,6607819,1321564,229.5,1.3267,1.336,1.3246,114.0,2156,1829,285,6.42,3.72,20,16.1,1.0,1.346,1.3431799999999998,1.34035,1.3347,1.32905,1.32623,1.3234,441,289,699,722,2004-12-06 23:30:00,-56.50000000000155,2
2004.12.16 00:00,2004.12.22 23:30,1.33914,1.3427,1.3191700000000002,1.3387200000000001,6643772,1328754,235.3,1.3389,1.3422,1.3298,124.0,2325,433,1822,0.24,3.91,13,17.5,1.0,1.3426,1.3399,1.3372,1.3318,1.3264,1.3237,1.321,896,602,485,322,2004-12-22 23:30:00,54.00000000000071,1
2005.01.19 00:00,2005.01.25 23:30,1.3016,1.3116,1.29197,1.29702,6577460,1315492,196.3,1.3043,1.3088,1.2974,114.0,2138,578,1506,0.38,4.32,-4,15.8,1.0,1.3104,1.3082,1.306,1.3016,1.2972,1.295,1.2928,325,768,489,543,2005-01-25 23:30:00,-43.999999999999595,2
2005.01.20 00:00,2005.01.26 23:30,1.30075,1.31065,1.29197,1.30694,6602328,1320466,186.8,1.3043,1.308,1.297,110.0,2101,554,1496,0.37,4.42,18,15.6,1.0,1.3098,1.30768,1.30555,1.3013,1.29705,1.29492,1.2928,374,618,561,534,2005-01-26 23:30:00,-42.50000000000087,2
2005.02.07 00:00,2005.02.11 23:30,1.28569,1.29033,1.27299,1.2862,6616553,1323311,173.4,1.2761,1.2846,1.2736,110.0,1998,1602,339,4.73,4.54,-15,14.7,1.0,1.2902,1.28808,1.28595,1.2817,1.27745,1.2753299999999999,1.2732,460,360,524,649,2005-02-11 23:30:00,42.50000000000087,1
2005.02.15 00:00,2005.02.21 23:30,1.29735,1.30882,1.2943200000000001,1.30655,6618670,1323734,145.0,1.3065,1.3074,1.3008,66.0,1951,263,1619,0.16,5.27,9,14.3,1.0,1.3088,1.307,1.3052,1.3016,1.298,1.2962,1.2944,671,637,359,282,2005-02-21 23:30:00,36.000000000000476,1
2005.03.01 00:00,2005.03.07 23:30,1.32256,1.3253,1.30869,1.32089,6625048,1325010,166.1,1.3107,1.32,1.3094,106.0,1754,1550,161,9.63,4.18,-29,12.7,1.0,1.3248,1.3228,1.3208,1.3168,1.3128,1.3108,1.3088,381,465,373,528,2005-03-07 23:30:00,40.000000000000036,1
2005.03.24 00:00,2005.03.30 23:30,1.29835,1.30293,1.28536,1.29122,6767208,1353442,175.7,1.2939,1.2968,1.29,68.0,1956,905,985,0.92,4.4,20,14.3,1.0,1.3014,1.2994700000000001,1.29755,1.2937,1.28985,1.28793,1.286,262,756,681,239,2005-03-30 23:30:00,-38.49999999999909,2
2005.03.25 00:00,2005.03.31 23:30,1.29352,1.3018,1.28536,1.29621,6808490,1361698,164.4,1.2949,1.2962,1.2908,54.0,1949,525,1363,0.39,4.7,38,14.3,1.0,1.3,1.29825,1.2965,1.293,1.2895,1.28775,1.286,155,895,661,213,2005-03-31 23:30:00,35.00000000000058,1
2005.04.04 00:00,2005.04.08 23:30,1.29021,1.29362,1.27977,1.293,6845588,1369118,138.5,1.2847,1.2896,1.282,76.0,1990,1281,656,1.95,5.61,0,14.5,1.0,1.2936,1.2919,1.2902,1.2868,1.2834,1.2817,1.28,289,615,642,439,2005-04-08 23:30:00,34.000000000000696,1
2005.04.05 00:00,2005.04.11 23:30,1.28366,1.30019,1.27977,1.29672,6832128,1366426,204.2,1.2847,1.2914,1.281,104.0,2016,1399,569,2.46,3.91,-1,14.8,1.0,1.2996,1.29715,1.2947,1.2898,1.2849,1.28245,1.28,225,492,680,612,2005-04-11 23:30:00,-49.000000000001265,2
2005.04.11 00:00,2005.04.15 23:30,1.2923799999999999,1.30045,1.27667,1.29206,6748967,1349793,237.8,1.2913,1.2982,1.286,122.0,2137,919,1160,0.79,3.56,-46,15.8,1.0,1.3,1.2972,1.2944,1.2888,1.2832,1.2804,1.2776,480,830,411,406,2005-04-15 23:30:00,56.00000000000049,1
2005.04.12 00:00,2005.04.18 23:30,1.29633,1.30417,1.27667,1.30203,6722790,1344558,275.0,1.2911,1.2948,1.28,148.0,2163,868,1235,0.7,3.13,-15,16.1,1.0,1.3036,1.30035,1.2971,1.2906,1.2841,1.28085,1.2776,381,635,689,448,2005-04-18 23:30:00,65.00000000000172,1
2005.04.28 00:00,2005.05.04 23:30,1.29233,1.29779,1.28264,1.2942200000000001,6743454,1348691,151.5,1.2857,1.293,1.284,90.0,1872,1493,326,4.58,4.93,1,13.7,1.0,1.2972,1.2953700000000001,1.29355,1.2899,1.28625,1.2844200000000001,1.2826,425,549,426,469,2005-05-04 23:30:00,-36.49999999999931,2
2005.06.01 00:00,2005.06.07 23:30,1.2293399999999999,1.23386,1.21581,1.22794,6672877,1334575,180.5,1.2267,1.2296,1.223,66.0,2280,1027,1168,0.88,5.01,-8,17.1,1.0,1.2332,1.23115,1.2291,1.225,1.2209,1.21885,1.2168,324,1259,526,154,2005-06-07 23:30:00,-40.99999999999992,2
2005.07.04 00:00,2005.07.08 23:30,1.19462,1.2038,1.1866299999999999,1.19615,6693815,1338763,171.7,1.1927,1.1936,1.1894,42.0,2178,738,1346,0.55,5.07,-6,16.3,1.0,1.2012,1.1994200000000002,1.19765,1.1941,1.19055,1.18878,1.187,85,255,1358,454,2005-07-08 23:30:00,35.49999999999942,1
2005.07.14 00:00,2005.07.20 23:30,1.2086,1.21859,1.19521,1.21339,6677837,1335567,233.8,1.2077,1.209,1.2024,66.0,2117,624,1432,0.44,3.62,-24,15.8,1.0,1.2166,1.2139799999999998,1.21135,1.2061,1.20085,1.19822,1.1956,141,974,788,190,2005-07-20 23:30:00,52.499999999999766,1
2005.07.25 00:00,2005.07.29 23:30,1.20567,1.2158,1.19634,1.2116,6693903,1338781,194.6,1.2049,1.2086,1.1988,98.0,2136,1205,867,1.39,4.36,-45,15.8,1.0,1.2148,1.21265,1.2105,1.2062,1.2019,1.19975,1.1976,442,482,793,406,2005-07-29 23:30:00,43.000000000001926,1
2005.08.04 00:00,2005.08.10 23:30,1.2328,1.24237,1.22984,1.23748,6704870,1340974,125.3,1.2369,1.2386,1.2334,52.0,2139,699,1365,0.51,6.79,-17,15.9,1.0,1.2414,1.2399799999999999,1.23855,1.2357,1.23285,1.23143,1.23,232,930,690,276,2005-08-10 23:30:00,28.500000000000192,1
2005.08.05 00:00,2005.08.11 23:30,1.23742,1.24758,1.2307,1.24696,6715552,1343110,168.8,1.2365,1.239,1.233,60.0,2099,1138,889,1.28,4.94,-4,15.6,1.0,1.2446,1.2429,1.2412,1.2378,1.2344,1.2327,1.231,189,546,956,378,2005-08-11 23:30:00,33.99999999999847,1
2005.08.18 00:00,2005.08.24 23:30,1.22602,1.2292399999999999,1.21246,1.22709,6678155,1335631,167.8,1.2175,1.223,1.2154,76.0,2044,1451,526,2.76,4.81,-7,15.2,1.0,1.229,1.22695,1.2249,1.2208,1.2167,1.21465,1.2126,312,672,756,300,2005-08-24 23:30:00,40.99999999999992,1
